sec_after_inj,min_after_inj,DateTime,Rwt_in_stream_ug_per_L,dt_sec
0,0,15:39:02,0,
0,0,15:39:12,0,0
0,0,15:39:22,0,0
0,0,15:39:32,0,0
0,0,15:39:42,0.1,0
0,0,15:39:52,0.1,0
0,0,15:40:02,0.1,0
0,0,15:40:12,0.1,0
0,0,15:40:22,-0.1,0
0,0,15:40:32,-0.1,0
0,0,15:40:42,-0.1,0
0,0,15:40:52,-0.1,0
0,0,15:41:02,-0.1,0
0,0,15:41:12,-0.1,0
0,0,15:41:22,-0.1,0
0,0,15:41:32,-0.1,0
0,0,15:41:42,0,0
0,0,15:41:52,-0.1,1
2,0.03,15:42:02,0,6
12,0.2,15:42:12,-0.1,10
22,0.37,15:42:22,-0.1,10
32,0.53,15:42:32,-0.1,10
42,0.7,15:42:42,0.3,10
52,0.87,15:42:52,2.7,10
62,1.03,15:43:02,4.2,10
72,1.2,15:43:12,4.6,10
82,1.37,15:43:22,4.3,10
92,1.53,15:43:32,3.7,10
102,1.7,15:43:42,3.1,10
112,1.87,15:43:52,2.6,10
122,2.03,15:44:02,2.2,10
132,2.2,15:44:12,1.9,10
142,2.37,15:44:22,1.9,10
152,2.53,15:44:32,0.8,10
162,2.7,15:44:42,0.7,10
172,2.87,15:44:52,0.6,10
182,3.03,15:45:02,0.4,10
192,3.2,15:45:12,0.4,10
202,3.37,15:45:22,0.2,10
212,3.53,15:45:32,0.2,10
222,3.7,15:45:42,0.1,10
232,3.87,15:45:52,0.2,10
242,4.03,15:46:02,0.1,10
252,4.2,15:46:12,0,10
262,4.37,15:46:22,0,10
272,4.53,15:46:32,0,10
282,4.7,15:46:42,0,10
292,4.87,15:46:52,0,10
302,5.03,15:47:02,0,10
