lat,long,elevation_feet,distance_mi
47.56634,-122.32301,112.95,5.31
47.55986,-122.30238,328.08,6.37
47.55337,-122.28176,190.29,7.43
47.54689,-122.26113,141.08,8.50
47.54041,-122.24050,206.69,9.56
47.53393,-122.21987,341.21,10.62
47.52744,-122.19925,85.30,11.68
47.52096,-122.17862,321.52,12.75
47.51448,-122.15799,424.78,13.81
47.50799,-122.13736,501.97,14.87
47.50151,-122.11674,488.58,15.93
47.49503,-122.09611,387.14,17.00
47.48855,-122.07548,380.58,18.06
47.48206,-122.05485,374.02,19.12
47.47558,-122.03423,370.73,20.19
47.46910,-122.01360,646.33,21.25
47.46261,-121.99297,797.24,22.32
47.45613,-121.97234,1292.65,23.38
47.44965,-121.95172,1158.14,24.44
47.44317,-121.93109,2001.31,25.51
47.43668,-121.91046,2027.56,26.57
47.43020,-121.88984,2066.93,27.64
47.42372,-121.86921,1459.97,28.70
47.41723,-121.84858,1761.81,29.76
47.41075,-121.82795,1276.25,30.83
47.40427,-121.80733,1479.66,31.89
47.39778,-121.78670,2782.15,32.96
47.39130,-121.76607,3704.07,34.02
47.38482,-121.74544,3530.18,35.09
47.37834,-121.72482,3215.39,36.15
47.37185,-121.70419,2391.73,37.22
47.36537,-121.68356,1766.99,38.28
47.35889,-121.66293,1845.21,39.35
47.35240,-121.64231,2484.12,40.41
47.34592,-121.62168,3435.04,41.48
47.33944,-121.60105,3792.65,42.55
47.33296,-121.58042,4196.19,43.61
47.32647,-121.55980,3113.52,44.68
47.31999,-121.53917,2516.40,45.74
47.31351,-121.51854,2404.86,46.81
47.30702,-121.49791,4248.69,47.88
47.30054,-121.47729,4565.73,48.94
47.29406,-121.45666,4576.77,50.01

