lat,long,elevation_feet,distance_mi
46.60039,-122.02309,3466.89,0.00
46.60540,-122.01784,3139.65,0.43
46.61041,-122.01259,2947.04,0.85
46.61542,-122.00735,2933.49,1.28
46.62043,-122.00210,3483.75,1.71
46.62543,-121.99686,3762.66,2.13
46.63044,-121.99161,3744.13,2.56
46.63545,-121.98636,4407.90,2.99
46.64046,-121.98112,4044.42,3.41
46.64547,-121.97587,3991.51,3.84
46.65047,-121.97063,4027.76,4.27
46.65548,-121.96538,3788.89,4.69
46.66049,-121.96013,3570.80,5.12
46.66550,-121.95489,3603.56,5.55
46.67051,-121.94964,3763.12,5.97
46.67552,-121.94440,3682.29,6.40
46.68052,-121.93915,2885.34,6.83
46.68553,-121.93391,3395.77,7.25
46.69054,-121.92866,4816.84,7.68
46.69555,-121.92341,4202.47,8.11
46.70056,-121.91817,4137.30,8.53
46.70556,-121.91292,4418.88,8.96
46.71057,-121.90768,4185.36,9.39
46.71558,-121.90243,2764.26,9.81
46.72059,-121.89718,2312.68,10.24
46.72560,-121.89194,2385.03,10.67
46.73060,-121.88669,2167.04,11.09
46.73561,-121.88145,2203.76,11.52
46.74062,-121.87620,2642.76,11.95
46.74563,-121.87095,3649.65,12.37
46.75064,-121.86571,4236.64,12.80
46.75565,-121.86046,3682.94,13.22
46.76065,-121.85522,4049.30,13.65
46.76566,-121.84997,4392.59,14.08
46.77067,-121.84472,4029.51,14.50
46.77568,-121.83948,5321.58,14.93
46.78069,-121.83423,5063.11,15.36
46.78569,-121.82899,5029.41,15.78
46.79070,-121.82374,5495.27,16.21
46.79571,-121.81849,5069.66,16.64
46.80072,-121.81325,5831.89,17.06
46.80573,-121.80800,6058.32,17.49
46.81073,-121.80276,6578.24,17.91
46.81574,-121.79751,7316.50,18.34
46.82075,-121.79226,7759.42,18.77
46.82576,-121.78702,8508.16,19.19
46.83077,-121.78177,9506.30,19.62
46.83578,-121.77653,10930.80,20.05
46.84078,-121.77128,12797.16,20.47
46.84579,-121.76603,14104.76,20.90
46.85080,-121.76079,14320.83,21.32
